Make,Model,Software,HostComputer,LensSpecification,LensMake,LensModel
Canon,Canon EOS Rebel SL2,,,70mm f/0,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS Rebel SL3,,,50mm f/0,,EF50mm f/1.4 USM
Canon,Canon EOS Rebel T6,,,70mm f/?,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS Rebel T6i,,,70mm f/0,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS Rebel T6s,,,70mm f/0,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS Rebel T7,,,18-55mm f/?,,EF-S18-55mm f/4-5.6 IS STM
Canon,Canon EOS Rebel T7i,,,18-135mm f/0,,EF-S18-135mm f/3.5-5.6 IS STM
Canon,Canon EOS Rebel T8i,,,18-55mm f/0,,EF-S18-55mm f/4-5.6 IS STM
Canon,Canon EOS RP,,,24-105mm f/0,,RF24-105mm F4 L IS USM
Canon,Canon EOS 1000D,,,,,30mm
Canon,Canon EOS 100D,,,600mm f/0,,EF600mm f/4L IS II USM
Canon,Canon EOS 10D,,,,,
Canon,Canon EOS 1100D,,,18-55mm f/?,,EF-S18-55mm f/3.5-5.6 IS II
Canon,Canon EOS 1200D,,,18-55mm f/?,,EF-S18-55mm f/3.5-5.6 IS II
Canon,Canon EOS 1300D,,,10-22mm f/?,,EF-S10-22mm f/3.5-4.5 USM
Canon,Canon EOS-1D,,,,,
Canon,Canon EOS-1D C,,,28mm f/0,,28mm
Canon,Canon EOS-1D Mark II N,,,,,EF24-85mm f/3.5-4.5 USM
Canon,Canon EOS-1D Mark III,,,,,EF300mm f/4L IS USM
Canon,Canon EOS-1D Mark IV,,,,,EF16-35mm f/2.8L II USM
Canon,Canon EOS-1D X,,,135mm f/0,,EF135mm f/2L USM
Canon,Canon EOS-1D X Mark II,,,70mm f/0,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS-1D X Mark III,,,35mm f/0,,EF35mm f/1.4L II USM
Canon,Canon EOS-1D Mark II,,,,,
Canon,Canon EOS-1D Mark II N,,,,,EF24-85mm f/3.5-4.5 USM
Canon,Canon EOS-1DS,,,,,
Canon,Canon EOS-1Ds Mark III,,,,,EF50mm f/1.8 II
Canon,Canon EOS-1Ds Mark II,,,,,
Canon,Canon EOS 2000D,,,55-250mm f/?,,EF-S55-250mm f/4-5.6 IS STM
Canon,Canon EOS 200D,,,18-55mm f/0,,EF-S18-55mm f/3.5-5.6 IS II
Canon,Canon EOS 20D,,,,,
